|        a         |        b         | s |       out        |
| 0010000101100111 | 0001111000101000 | 0 | 0011111110001111 |
| 0010010101010110 | 0001110010011111 | 0 | 0100000111110101 |
| 0010000000101000 | 0010001111101010 | 1 | 1111110000111110 |
| 0000011010011101 | 0001100001000001 | 0 | 0001111011011110 |
| 0000101011101011 | 0010010001100111 | 0 | 0010111101010010 |
| 0000110111100100 | 0010010000001010 | 1 | 1110100111011010 |
| 0000011111000000 | 0001110000011000 | 1 | 1110101110101000 |
| 0001111100010010 | 0000110000100011 | 0 | 0010101100110101 |
| 0000110111011000 | 0000100010001001 | 0 | 0001011001100001 |
| 0001001010110101 | 0000010101111101 | 0 | 0001100000110010 |
| 0001110011010000 | 0001001000101011 | 1 | 0000101010100101 |
| 0010000001011110 | 0001110110010000 | 1 | 0000001011001110 |
| 0001011001111110 | 0001000001011101 | 0 | 0010011011011011 |
| 0001000101111100 | 0001001001101100 | 1 | 1111111100010000 |
| 0010010101100100 | 0000011011010001 | 1 | 0001111010010011 |
| 0000111101001110 | 0010001001011100 | 1 | 1110110011110010 |
| 0001011011010011 | 0001011110011111 | 0 | 0010111001110010 |
| 0001001110111111 | 0001100101110110 | 0 | 0010110100110101 |
| 0001001100110101 | 0001000000010111 | 1 | 0000001100011110 |
| 0000111100011110 | 0000110111100011 | 0 | 0001110100000001 |
| 0000011111111000 | 0010001010101110 | 0 | 0010101010100110 |
| 0001110110100110 | 0001011000000001 | 1 | 0000011110100101 |
| 0000011000010000 | 0001110011110001 | 0 | 0010001100000001 |
| 0000100001001100 | 0000110111100010 | 0 | 0001011000101110 |
| 0001010100000101 | 0001010111100000 | 0 | 0010101011100101 |
| 0001101111011111 | 0000101101111001 | 0 | 0010011101011000 |
| 0001011000001110 | 0000111010100100 | 1 | 0000011101101010 |
| 0000101000011110 | 0001101000101110 | 1 | 1110111111110000 |
| 0001110001101010 | 0001010011110001 | 0 | 0011000101011011 |
| 0001010100010001 | 0000010001010001 | 1 | 0001000011000000 |
| 0000110000011100 | 0010010011110111 | 1 | 1110011100100101 |
| 0001010110110011 | 0001111100010010 | 1 | 1111011010100001 |
| 0001111101010110 | 0010001000110101 | 0 | 0100000110001011 |
| 0010010100010111 | 0000011001100110 | 0 | 0010101101111101 |
| 0001111010110011 | 0000111111011011 | 1 | 0000111011011000 |
| 0000110110010110 | 0001010101111001 | 0 | 0010001100001111 |
| 0000011001110010 | 0001001110000110 | 0 | 0001100111111000 |
| 0001100001000010 | 0001001011010010 | 0 | 0010101100010100 |
| 0000011110110110 | 0000010000101000 | 0 | 0000101111011110 |
| 0001001101011011 | 0000011101111101 | 1 | 0000101111011110 |
| 0001010101010001 | 0001111010100001 | 0 | 0011001111110010 |
| 0000100010100001 | 0000001111111111 | 0 | 0000110010100000 |
| 0001101101100110 | 0010010011011000 | 0 | 0100000000111110 |
| 0000011011010010 | 0000101001011001 | 0 | 0001000100101011 |
| 0001010101011110 | 0001101000100001 | 1 | 1111101100111101 |
| 0001110011010110 | 0000101101001110 | 0 | 0010100000100100 |
| 0000111100111100 | 0001000011000000 | 1 | 1111111001111100 |
| 0001000001000110 | 0010011100001111 | 1 | 1110100100110111 |
| 0001011100100001 | 0000011100010111 | 1 | 0001000000001010 |
| 0001011100010101 | 0001010101111101 | 1 | 0000000110011000 |
| 0001100001011110 | 0000101001010011 | 0 | 0010001010110001 |
| 0001101100110101 | 0001110100011010 | 0 | 0011100001001111 |
| 0000011010001111 | 0000101101100010 | 1 | 1111101100101101 |
| 0001100000111010 | 0000011110111100 | 0 | 0001111111110110 |
| 0010000001001101 | 0000010001101100 | 0 | 0010010010111001 |
| 0000101110101111 | 0010001111011110 | 0 | 0010111110001101 |
| 0000110000101000 | 0000110011001011 | 0 | 0001100011110011 |
| 0001000001100000 | 0001010111110100 | 0 | 0010011001010100 |
| 0001110111100011 | 0000001111110011 | 0 | 0010000111010110 |
| 0001010111011000 | 0010010011111110 | 0 | 0011101011010110 |
| 0001000100101001 | 0001100110111101 | 1 | 1111011101101100 |
| 0001101110110101 | 0000011001100010 | 0 | 0010001000010111 |
| 0010000110111001 | 0010000001101101 | 0 | 0100001000100110 |
| 0000111001110010 | 0001010101011111 | 0 | 0010001111010001 |
| 0000010000001110 | 0000110010011000 | 1 | 1111011101110110 |
| 0010001001000111 | 0001010011111101 | 1 | 0000110101001010 |
| 0000111011001011 | 0000011001000111 | 1 | 0000100010000100 |
| 0001100101000010 | 0010000000111101 | 0 | 0011100101111111 |
| 0001011100110001 | 0001111001011111 | 1 | 1111100011010010 |
| 0010011001101101 | 0001101100000100 | 1 | 0000101101101001 |
| 0000110111110010 | 0000011101000001 | 1 | 0000011010110001 |
| 0000100110101100 | 0010011010100000 | 0 | 0011000001001100 |
| 0000111110100011 | 0000010011110110 | 0 | 0001010010011001 |
| 0001100100101000 | 0001100110000000 | 1 | 1111111110101000 |
| 0010000010011110 | 0010001011101110 | 1 | 1111110110110000 |
| 0001011110000001 | 0001000101011100 | 0 | 0010100011011101 |
| 0010010011111101 | 0001110101100010 | 1 | 0000011110011011 |
| 0000100111100011 | 0000101011100101 | 1 | 1111111011111110 |
| 0001000011010111 | 0000010101100111 | 1 | 0000101101110000 |
| 0010000011110000 | 0001111111101011 | 1 | 0000000100000101 |
| 0010011010110110 | 0010001001010101 | 0 | 0100100100001011 |
| 0000110001100000 | 0001111011010111 | 0 | 0010101100110111 |
| 0000101011011111 | 0000011010101011 | 1 | 0000010000110100 |
| 0010000110101010 | 0010010101010100 | 0 | 0100011011111110 |
| 0000010101101011 | 0001000110000111 | 1 | 1111001111100100 |
| 0010001011100011 | 0010011000010100 | 1 | 1111110011001111 |
| 0001101010010100 | 0001111011101011 | 1 | 1111101110101001 |
| 0001000010010111 | 0001001001010000 | 0 | 0010001011100111 |
| 0000100011011100 | 0001001010111100 | 0 | 0001101110011000 |
| 0001100110001110 | 0001000000010111 | 1 | 0000100101110111 |
| 0001100001111000 | 0010000011010010 | 0 | 0011100101001010 |
| 0000101000111000 | 0000111110011100 | 0 | 0001100111010100 |
| 0000110010001000 | 0010010100101110 | 1 | 1110011101011010 |
| 0001011101111001 | 0000100010001011 | 1 | 0000111011101110 |
| 0001011010100110 | 0001101110110110 | 1 | 1111101011110000 |
| 0000010100101011 | 0010000001110011 | 1 | 1110010010111000 |
| 0001110010010100 | 0000110101100111 | 0 | 0010100111111011 |
| 0000101011111000 | 0001100010100001 | 0 | 0010001110011001 |
| 0010010110010100 | 0001001001010011 | 1 | 0001001101000001 |
| 0010011010001101 | 0001110001011011 | 0 | 0100001011101000 |
| 0001110001101000 | 0001010101110001 | 1 | 0000011011110111 |
| 0010001001111111 | 0000100000101111 | 0 | 0010101010101110 |
| 0001010100000110 | 0001001100000011 | 0 | 0010100000001001 |
| 0000010001101010 | 0000011110100001 | 0 | 0000110000001011 |
| 0000011000101100 | 0000010001000000 | 1 | 0000000111101100 |
| 0010000001010111 | 0001100011111101 | 0 | 0011100101010100 |
| 0000010000100110 | 0001101101100110 | 1 | 1110100011000000 |
| 0010010110100011 | 0001110000001110 | 1 | 0000100110010101 |
| 0001111100001010 | 0000110111011011 | 1 | 0001000100101111 |
| 0001011001010101 | 0000011011111110 | 0 | 0001110101010011 |
| 0000100110111111 | 0000011101010011 | 0 | 0001000100010010 |
| 0010000011100010 | 0001100100011110 | 1 | 0000011111000100 |
| 0010000000010011 | 0001101101110100 | 0 | 0011101110000111 |
| 0001001011101011 | 0001001101000011 | 1 | 1111111110101000 |
| 0010000010011000 | 0000111111101001 | 1 | 0001000010101111 |
| 0001100111010010 | 0001100011100011 | 0 | 0011001010110101 |
| 0000100000100000 | 0001010001100101 | 0 | 0001110010000101 |
| 0001101001000111 | 0001010011100000 | 0 | 0010111100100111 |
| 0001110111010000 | 0000101111010000 | 1 | 0001001000000000 |
| 0000110001101110 | 0000111000100011 | 0 | 0001101010010001 |
| 0001001010000101 | 0010010010111000 | 0 | 0011011100111101 |
| 0000110010110010 | 0000110111101110 | 0 | 0001101010100000 |
| 0001110110011100 | 0001101101100011 | 1 | 0000001000111001 |
| 0001101110111010 | 0001110111110101 | 1 | 1111110111000101 |
| 0001000111111111 | 0000010000011010 | 1 | 0000110111100101 |
| 0001011001001001 | 0000110101010100 | 1 | 0000100011110101 |
| 0001000010001010 | 0000111001001010 | 1 | 0000001001000000 |
| 0010010001000000 | 0000110111011101 | 0 | 0011001000011101 |
| 0000001111101100 | 0001001010111100 | 0 | 0001011010101000 |
| 0001000110110111 | 0000010011100110 | 0 | 0001011010011101 |
| 0001101011001010 | 0000011010101111 | 0 | 0010000101111001 |
| 0001011111111110 | 0010010110010110 | 1 | 1111001001101000 |
| 0010011010000010 | 0001100011010110 | 0 | 0011111101011000 |
| 0010000011110101 | 0010010000010001 | 0 | 0100010100000110 |
| 0001010010010110 | 0000101011001110 | 0 | 0001111101100100 |
| 0000110100000111 | 0010001000001001 | 0 | 0010111100010000 |
| 0001111001001000 | 0000100101110101 | 1 | 0001010011010011 |
| 0001111000110000 | 0000100011110010 | 0 | 0010011100100010 |
| 0001001010100010 | 0000101101010111 | 0 | 0001110111111001 |
| 0010001100110101 | 0001111010000000 | 1 | 0000010010110101 |
| 0001010111100100 | 0000110100111101 | 0 | 0010001100100001 |
| 0000010111100100 | 0001110100110111 | 1 | 1110100010101101 |
| 0001011001111001 | 0000011101000001 | 0 | 0001110110111010 |
| 0010010111000100 | 0001000100010110 | 1 | 0001010010101110 |
| 0010011010011000 | 0001001110101011 | 1 | 0001001011101101 |
| 0000100101100101 | 0001011011010110 | 0 | 0010000000111011 |
| 0010010011010101 | 0010000110111111 | 1 | 0000001100010110 |
| 0001000001011010 | 0001010011000001 | 1 | 1111101110011001 |
| 0010010000001101 | 0010010000100010 | 1 | 1111111111101011 |
| 0001011101010010 | 0000011010111000 | 1 | 0001000010011010 |
| 0010011000010000 | 0001110110100001 | 0 | 0100001110110001 |
| 0010001010101101 | 0001001011000011 | 0 | 0011010101110000 |
| 0001000100100010 | 0001000011110100 | 0 | 0010001000010110 |
| 0000110011001010 | 0000100100100000 | 0 | 0001010111101010 |
